Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,log_KM
13500,23,46986,Diesel,90,1,0,2000,3,1165,10.757626246687856
13750,23,72937,Diesel,90,1,0,2000,3,1165,11.197365044189649
13950,24,41711,Diesel,90,1,0,2000,3,1165,10.638544136173284
14950,26,48000,Diesel,90,0,0,2000,3,1165,10.778977123006351
13750,30,38500,Diesel,90,0,0,2000,3,1170,10.55843949396453
12950,32,61000,Diesel,90,0,0,2000,3,1170,11.0186455364637
16900,27,94612,Diesel,90,1,0,2000,3,1245,11.457550166317423
18600,30,75889,Diesel,90,1,0,2000,3,1245,11.237040202397958
21500,27,19700,Petrol,192,0,0,1800,3,1185,9.888424674859083
12950,23,71138,Diesel,69,0,0,1900,3,1105,11.17239098861422
20950,25,31461,Petrol,192,0,0,1800,3,1185,10.35653574738245
19950,22,43610,Petrol,192,0,0,1800,3,1185,10.683064691094435
19600,25,32189,Petrol,192,0,0,1800,3,1185,10.379411124292854
21500,31,23000,Petrol,192,1,0,1800,3,1185,10.043292972227004
22500,32,34131,Petrol,192,1,0,1800,3,1185,10.437990639656476
22000,28,18739,Petrol,192,0,0,1800,3,1185,9.838415555792412
22750,30,34000,Petrol,192,1,0,1800,3,1185,10.434145214930487
17950,24,21716,Petrol,110,1,0,1600,3,1105,9.985850642961251
16750,24,25563,Petrol,110,0,0,1600,3,1065,10.148940390770173
16950,30,64359,Petrol,110,1,0,1600,3,1105,11.07224760110632
15950,30,67660,Petrol,110,1,0,1600,3,1105,11.122265222006739
16950,29,43905,Petrol,110,0,1,1600,3,1170,10.689806263983868
15950,28,56349,Petrol,110,1,0,1600,3,1120,10.939337519467923
16950,28,32220,Petrol,110,1,0,1600,3,1120,10.380373692872555
16250,29,25813,Petrol,110,1,0,1600,3,1120,10.158672259395132
15950,25,28450,Petrol,110,1,0,1600,3,1120,10.255938588321637
17495,27,34545,Petrol,110,1,0,1600,3,1120,10.45004704825323
15750,29,41415,Petrol,110,1,0,1600,3,1120,10.631422558581738
16950,28,44142,Petrol,110,0,0,1600,3,1120,10.695189643065287
17950,30,11090,Petrol,110,1,0,1600,3,1120,9.313889247604742
12950,29,9750,Petrol,97,1,0,1400,3,1100,9.18512512283512
15750,22,35199,Petrol,97,1,0,1400,3,1100,10.468801361586188
15950,27,29510,Petrol,97,1,0,1400,3,1100,10.292518354180867
14950,26,32692,Petrol,97,1,0,1400,3,1100,10.394916266691387
